Time,Open,High,Low,Close,Volume
2019-12-22 23:59:59.999,7131.59000000,7518.54000000,7122.47000000,7501.44000000,39137.45515000
2019-12-23 23:59:59.999,7500.71000000,7695.38000000,7265.84000000,7317.09000000,68051.99720300
2019-12-24 23:59:59.999,7317.30000000,7436.68000000,7157.04000000,7255.77000000,43629.49418800
2019-12-25 23:59:59.999,7255.77000000,7271.77000000,7128.86000000,7204.63000000,27492.04432300
2019-12-26 23:59:59.999,7205.01000000,7435.00000000,7157.12000000,7202.00000000,36259.76107600
2019-12-27 23:59:59.999,7202.00000000,7275.86000000,7076.42000000,7254.74000000,33642.70186100
2019-12-28 23:59:59.999,7254.77000000,7365.01000000,7238.67000000,7316.14000000,26848.98219900
2019-12-29 23:59:59.999,7315.36000000,7528.45000000,7288.00000000,7388.24000000,31387.10608500
2019-12-30 23:59:59.999,7388.43000000,7408.24000000,7220.00000000,7246.00000000,29605.91178200
2019-12-31 23:59:59.999,7246.00000000,7320.00000000,7145.01000000,7195.23000000,25954.45353300
2020-01-01 23:59:59.999,7195.24000000,7255.00000000,7175.15000000,7200.85000000,16792.38816500
2020-01-02 23:59:59.999,7200.77000000,7212.50000000,6924.74000000,6965.71000000,31951.48393200
2020-01-03 23:59:59.999,6965.49000000,7405.00000000,6871.04000000,7344.96000000,68428.50045100
2020-01-04 23:59:59.999,7345.00000000,7404.00000000,7272.21000000,7354.11000000,29987.97497700
2020-01-05 23:59:59.999,7354.19000000,7495.00000000,7318.00000000,7358.75000000,38331.08560400
2020-01-06 23:59:59.999,7357.64000000,7795.34000000,7346.76000000,7758.00000000,54635.69531600
2020-01-07 23:59:59.999,7758.90000000,8207.68000000,7723.71000000,8145.28000000,91171.68466100
2020-01-08 23:59:59.999,8145.92000000,8455.00000000,7870.00000000,8055.98000000,112622.64264000
2020-01-09 23:59:59.999,8054.72000000,8055.96000000,7750.00000000,7817.76000000,64239.51983000
2020-01-10 23:59:59.999,7817.74000000,8199.00000000,7672.00000000,8197.02000000,82406.77744800
